,Sun 15,Mon 16,Tue 17,Wed 18,Thu 19,Fri 20,Sat 21,|,Sun 22,Mon 23,Tue 24,Wed 25,Thu 26,Fri 27,Sat 28
Ash,,ON PREF,OFF,ON PREF,OFF,,,|,OFF,ON PREF,,,,ON PREF,ON PREF
Bruce,,IN PREF,OFF,IN PREF,,OFF,OFF,|,OFF,ON PREF,OFF,,IN PREF,OFF,OFF
Clark,,,IN PREF,OFF,OFF,ON PREF,OFF,|,ON PREF,OFF,IN PREF,,OFF,ON PREF,IN PREF
Daenerys,,OFF,ON PREF,OFF,OFF,OFF,,|,OFF,IN PREF,IN PREF,IN PREF,OFF,OFF,OFF
Elsa,ON PREF,ON PREF,,,OFF,IN PREF,OFF,|,ON PREF,IN PREF,IN PREF,IN PREF,OFF,OFF,OFF
Frodo,OFF,IN PREF,OFF,,ON PREF,IN PREF,OFF,|,IN PREF,ON PREF,OFF,,,OFF,OFF
Grinch,ON PREF,OFF,ON PREF,ON PREF,IN PREF,OFF,OFF,|,OFF,ON PREF,ON PREF,ON PREF,IN PREF,OFF,OFF
Hermione,OFF,ON PREF,IN PREF,,,OFF,ON PREF,|,ON PREF,,OFF,OFF,OFF,ON PREF,IN PREF
Indiana,OFF,OFF,OFF,ON PREF,,,IN PREF,|,OFF,OFF,ON PREF,,,,IN PREF
Jerry,ON PREF,OFF,ON PREF,,IN PREF,,OFF,|,ON PREF,,IN PREF,,ON PREF,OFF,OFF
Kenobi,OFF,ON PREF,ON PREF,OFF,ON PREF,IN PREF,OFF,|,OFF,ON PREF,,,OFF,IN PREF,OFF
Lumiere,,,OFF,OFF,ON PREF,OFF,OFF,|,OFF,,OFF,IN PREF,IN PREF,,OFF
Mickey,OFF,,OFF,IN PREF,OFF,OFF,OFF,|,OFF,ON PREF,ON PREF,,OFF,OFF,OFF
Napoleon,OFF,,IN PREF,OFF,OFF,ON PREF,OFF,|,OFF,IN PREF,ON PREF,,OFF,OFF,OFF
Othello,OFF,,OFF,ON PREF,OFF,OFF,IN PREF,|,OFF,,IN PREF,OFF,,OFF,ON PREF
Patrick,,ON PREF,OFF,,OFF,OFF,OFF,|,,,OFF,IN PREF,ON PREF,,
Ross,,ON PREF,,OFF,,,IN PREF,|,OFF,,OFF,OFF,OFF,IN PREF,
Sulu,,ON PREF,OFF,OFF,IN PREF,OFF,OFF,|,,ON PREF,OFF,OFF,,OFF,OFF
Tom,IN PREF,IN PREF,OFF,,ON PREF,ON PREF,OFF,|,OFF,IN PREF,ON PREF,,ON PREF,ON PREF,
Vader,,IN PREF,OFF,ON PREF,OFF,ON PREF,OFF,|,ON PREF,,OFF,ON PREF,OFF,,
Wilt,IN PREF,OFF,,,OFF,,ON PREF,|,IN PREF,,OFF,ON PREF,OFF,,
